1960	13.07	11.82	7.34	1.74	2.17	0.00	0.00	0.00	T	0.82	5.12	M	M
1961	M	1.13	7.87	1.62	0.57	T	0.00	0.05	0.21	0.21	6.14	4.52	M
1962	5.18	16.47	8.59	0.59	0.06	T	0.00	0.21	0.28	12.97	1.70	7.34	53.39
1963	8.95	8.31	8.19	8.97	0.73	T	0.00	T	0.13	3.28	9.49	1.49	49.54
1964	7.42	0.27	4.26	0.54	0.67	1.88	T	0.03	0.00	3.83	6.90	15.38	41.18
1965	9.70	2.89	4.00	6.55	0.00	0.00	T	0.63	0.00	T	8.47	6.96	39.20
1966	16.40	6.53	1.33	1.23	0.25	0.16	0.00	0.19	0.11	0.00	14.48	10.12	50.80
1967	26.32	0.71	10.58	7.93	0.27	3.42	0.00	0.00	T	1.07	3.25	7.12	60.67
1968	10.22	7.63	5.01	0.43	0.45	0.00	0.00	0.97	0.00	4.96	6.49	16.15	52.31
1969	20.11	13.26	3.23	2.67	0.08	0.00	0.00	0.00	0.03	5.92	1.68	19.97	66.95
1970	26.83	4.15	2.77	0.19	0.15	0.45	0.00	0.00	0.00	3.94	11.81	17.67	67.96
1971	4.35	0.54	7.47	1.88	0.59	0.00	0.00	0.00	0.46	0.25	3.74	10.23	29.51
1972	3.95	3.99	1.45	4.34	0.03	0.35	0.00	0.00	0.93	8.54	12.41	8.17	44.16
1973	19.60	12.19	5.04	0.06	0.02	0.00	0.00	0.00	0.80	4.51	26.00	8.35	76.57
1974	9.79	4.65	11.49	4.85	0.09	0.10	3.30	0.00	0.00	2.63	1.53	5.21	43.64
1975	3.27	15.99	11.41	4.01	0.06	0.04	0.26	0.02	0.00	5.47	1.56	1.51	43.60
1976	0.33	5.74	2.59	2.69	0.00	T	0.00	1.74	0.91	0.70	3.14	2.77	20.61
1977	4.48	3.05	3.60	0.72	1.88	0.07	T	0.00	2.98	0.91	11.45	11.82	40.96
1978	14.45	8.74	8.05	5.18	0.15	0.00	0.00	0.00	1.83	0.00	4.42	1.21	44.03
1979	14.10	10.49	3.77	1.90	2.43	0.00	0.00	0.00	0.10	5.62	7.42	10.41	56.24
1980	12.55	13.56	2.37	3.69	0.75	0.25	0.06	0.00	0.00	0.28	0.32	4.08	M
1981	11.45	3.53	9.17	0.15	0.50	0.00	0.02	0.00	0.43	4.39	12.40	16.15	58.19
1982	19.79	6.77	12.52	M	0.00	0.06	0.00	0.00	0.80	5.55	17.04	7.23	M
1983	11.36	18.25	22.69	5.35	0.43	0.00	0.00	0.09	0.64	1.32	14.93	19.32	94.38
1984	0.77	3.85	3.66	1.93	0.30	0.43	0.00	0.34	0.05	3.11	19.07	3.80	37.31
1985	1.53	8.77	8.27	0.37	0.00	0.16	0.02	0.00	0.59	1.29	10.08	5.82	36.90
1986	14.22	26.95	13.14	1.29	0.61	0.00	0.03	0.00	1.86	0.10	0.14	2.77	61.11
1987	8.84	9.88	6.47	0.42	0.00	0.00	0.00	0.00	0.00	1.53	7.30	14.40	48.84
